entry_time,direction,entry_price,exit_price,exit_reason,pnl_pct,score,rating,bars_held
2026-05-12 15:10:00,long,29040.0,29156.591365921555,target,0.40148541984006414,84.9,B,8
2026-05-15 15:50:00,short,29234.75,29112.37172347756,target,0.41860551748326147,82.1,B,15
2026-05-18 15:50:00,long,29107.75,28940.9390865338,stop,-0.5730807550092365,82.8,B,3
2026-05-19 12:50:00,long,29023.5,29191.598124978293,target,0.5791793718135096,83.8,B,42
2026-05-26 11:50:00,short,29909.75,30035.24567129676,stop,-0.4195811442648578,94.1,A,29
2026-05-28 09:40:00,short,29955.5,30059.050668938246,stop,-0.3456816575862387,81.0,B,6
2026-06-08 13:00:00,short,29518.5,29707.353251418564,stop,-0.6397792957588022,83.7,B,37
2026-06-09 09:40:00,long,29767.0,29521.952829575926,stop,-0.8232175577789991,82.4,B,6
2026-06-09 10:40:00,short,29286.25,28994.156466145705,target,0.9973743099724097,82.0,B,9
2026-06-09 14:20:00,long,28970.5,28676.84818387345,stop,-1.0136235692395634,84.6,B,42
2026-06-10 11:10:00,short,28748.75,28719.75,time,0.100873951041347,81.8,B,78
2026-06-22 10:50:00,short,30580.5,30355.502609101055,target,0.7357544543056704,86.1,A,63
2026-06-24 12:35:00,short,29653.25,29456.414482944198,target,0.6637907044111602,85.5,A,9
2026-06-26 11:40:00,long,29697.5,29454.177974112183,stop,-0.8193350480269923,83.8,B,34
2026-06-29 09:40:00,long,29786.75,29467.114091596774,stop,-1.073080844345986,84.1,B,5
2026-07-07 12:00:00,long,29420.5,29265.526273001797,stop,-0.526754225788828,91.1,A,49
2026-07-08 13:20:00,long,29420.25,29579.287677302087,target,0.5405721477624637,81.5,B,33
2026-07-10 12:15:00,long,30017.0,30037.25,time,0.0674617716627246,82.9,B,44
