et,xt,d,ep,xp,xr,pnl,sc,rt,bh
2026-04-16 14:20:00,2026-04-16 15:50:00,short,26376.75,26484.21158914523,stop,-0.40741027285480236,80.7,B,18
2026-04-17 10:40:00,2026-04-20 09:45:00,long,26832.0,26721.659603839304,stop,-0.41122687895309706,81.5,B,68
2026-04-17 13:20:00,2026-04-20 10:50:00,short,26756.75,26658.220970275426,target,0.3682399010514148,81.7,B,49
2026-04-22 10:10:00,2026-04-22 15:50:00,long,26922.25,27088.5228177078,target,0.6176037207432428,85.1,A,68
2026-04-29 14:55:00,2026-04-29 16:00:00,long,27295.25,27405.657385027716,target,0.4044930346038811,80.0,B,13
2026-05-12 14:25:00,2026-05-12 15:35:00,long,28991.0,29111.363516455807,target,0.4151754560236087,86.1,A,14
2026-05-19 10:10:00,2026-05-19 12:50:00,short,28736.75,29008.786338886424,stop,-0.9466496346539621,80.2,B,32
2026-05-19 12:25:00,2026-05-19 13:15:00,long,28910.75,29097.361168183415,target,0.6454732865228907,82.8,B,10
2026-05-21 10:20:00,2026-05-21 12:05:00,short,29158.0,29309.683961268882,stop,-0.5202138736157602,81.0,B,21
2026-05-21 13:15:00,2026-05-22 09:30:00,long,29412.0,29557.654438362555,target,0.49522112866364765,80.1,B,34
2026-05-26 11:50:00,2026-05-26 14:15:00,short,29909.75,30035.24567129676,stop,-0.4195811442648578,95.9,A+,29
2026-06-03 14:25:00,2026-06-04 09:30:00,long,30677.0,30588.549307199904,stop,-0.288329017831257,81.2,B,20
2026-06-08 13:00:00,2026-06-09 09:30:00,short,29518.5,29707.353251418564,stop,-0.6397792957588022,86.0,A,37
2026-06-09 09:45:00,2026-06-09 10:10:00,long,29843.25,29620.34905603479,stop,-0.7469057289846481,83.0,B,5
2026-06-09 10:40:00,2026-06-09 11:25:00,short,29286.25,28994.156466145705,target,0.9973743099724097,88.5,A,9
2026-06-09 13:40:00,2026-06-10 10:30:00,long,28866.0,29238.47330762767,target,1.2903530368865601,87.3,A,41
2026-06-09 14:55:00,2026-06-10 09:30:00,long,29065.75,28780.388298490223,stop,-0.9817799351806711,88.0,A,14
2026-06-10 11:10:00,2026-06-11 11:05:00,short,28748.75,28719.75,time,0.100873951041347,85.3,A,78
2026-06-11 09:50:00,2026-06-11 11:00:00,long,28968.5,28600.828780298194,stop,-1.2692104171835084,81.1,B,14
