ticker,date
BTC-USD,2026-04-11
BTC-USD,2026-04-12
BTC-USD,2026-04-14
BTC-USD,2026-04-17
BTC-USD,2026-04-18
BTC-USD,2026-04-19
BTC-USD,2026-04-22
BTC-USD,2026-04-23
BTC-USD,2026-05-01
BTC-USD,2026-05-04
BTC-USD,2026-05-05
BTC-USD,2026-05-06
BTC-USD,2026-05-10
BTC-USD,2026-05-12
BTC-USD,2026-05-13
BTC-USD,2026-05-14
BTC-USD,2026-05-15
BTC-USD,2026-05-16
BTC-USD,2026-05-17
BTC-USD,2026-05-18
BTC-USD,2026-05-20
BTC-USD,2026-05-21
BTC-USD,2026-05-22
BTC-USD,2026-05-23
BTC-USD,2026-05-25
BTC-USD,2026-05-26
BTC-USD,2026-05-28
BTC-USD,2026-05-29
BTC-USD,2026-05-30
BTC-USD,2026-06-02
BTC-USD,2026-06-03
BTC-USD,2026-06-05
BTC-USD,2026-06-09
BTC-USD,2026-06-11
BTC-USD,2026-06-13
BTC-USD,2026-06-14
BTC-USD,2026-06-15
BTC-USD,2026-06-16
BTC-USD,2026-06-18
BTC-USD,2026-06-19
BTC-USD,2026-06-20
BTC-USD,2026-06-22
BTC-USD,2026-06-23
BTC-USD,2026-06-24
BTC-USD,2026-06-25
BTC-USD,2026-06-29
BTC-USD,2026-07-05
BTC-USD,2026-07-14
BTC-USD,2026-07-15
ETH-USD,2026-04-06
ETH-USD,2026-04-07
ETH-USD,2026-04-08
ETH-USD,2026-04-09
ETH-USD,2026-04-16
ETH-USD,2026-04-17
ETH-USD,2026-04-18
ETH-USD,2026-04-20
ETH-USD,2026-04-22
ETH-USD,2026-04-23
ETH-USD,2026-04-27
ETH-USD,2026-04-28
ETH-USD,2026-04-30
ETH-USD,2026-05-01
ETH-USD,2026-05-03
ETH-USD,2026-05-05
ETH-USD,2026-05-07
ETH-USD,2026-05-08
ETH-USD,2026-05-10
ETH-USD,2026-05-12
ETH-USD,2026-05-13
ETH-USD,2026-05-15
ETH-USD,2026-05-16
ETH-USD,2026-05-17
ETH-USD,2026-05-18
ETH-USD,2026-05-19
ETH-USD,2026-05-20
ETH-USD,2026-05-21
ETH-USD,2026-05-22
ETH-USD,2026-05-24
ETH-USD,2026-05-25
ETH-USD,2026-05-26
ETH-USD,2026-05-27
ETH-USD,2026-05-28
ETH-USD,2026-05-29
ETH-USD,2026-05-30
ETH-USD,2026-06-02
ETH-USD,2026-06-03
ETH-USD,2026-06-04
ETH-USD,2026-06-05
ETH-USD,2026-06-06
ETH-USD,2026-06-07
ETH-USD,2026-06-09
ETH-USD,2026-06-10
ETH-USD,2026-06-11
ETH-USD,2026-06-13
ETH-USD,2026-06-17
ETH-USD,2026-06-19
ETH-USD,2026-06-21
ETH-USD,2026-06-22
ETH-USD,2026-06-23
ETH-USD,2026-06-24
ETH-USD,2026-06-26
ETH-USD,2026-06-30
ETH-USD,2026-07-06
ETH-USD,2026-07-07
ETH-USD,2026-07-14
ETH-USD,2026-07-15
ETH-USD,2026-07-16
